gene,frequency,go_terms,Source_File
Hcn1,24,"regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); action potential (GO:0001508, p=2.17e-09); regulation of monoatomic cation transmembrane transport (GO:1904062, p=4.61e-09); positive regulation of monoatomic ion transport (GO:0043270, p=3.62e-07); positive regulation of monoatomic ion transmembrane transport (GO:0034767, p=2.81e-05); regulation of postsynaptic membrane potential (GO:0060078, p=4.30e-05); potassium ion transmembrane transport (GO:0071805, p=4.39e-05); potassium ion transport (GO:0006813, p=5.35e-05); response to salt (GO:1902074, p=1.26e-04); positive regulation of transmembrane transport (GO:0034764, p=1.62e-04); sodium ion transmembrane transport (GO:0035725, p=3.12e-04); sodium ion transport (GO:0006814, p=6.20e-04); positive regulation of cation transmembrane transport (GO:1904064, p=6.69e-04); response to metal ion (GO:0010038, p=9.92e-04); positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.61e-03); regulation of cation channel activity (GO:2001257, p=3.09e-03); positive regulation of transporter activity (GO:0032411, p=3.34e-03); multicellular organismal response to stress (GO:0033555, p=4.44e-03); regulation of action potential (GO:0098900, p=6.99e-03); response to inorganic substance (GO:0010035, p=1.73e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Cemip,24,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of metal ion transport (GO:0010959, p=1.91e-10); regulation of monoatomic cation transmembrane transport (GO:1904062, p=4.61e-09); positive regulation of monoatomic ion transport (GO:0043270, p=3.62e-07); intracellular monoatomic ion homeostasis (GO:0006873, p=3.98e-07); intracellular monoatomic cation homeostasis (GO:0030003, p=6.07e-07); regulation of protein localization to membrane (GO:1905475, p=3.97e-06); calcium ion transmembrane transport (GO:0070588, p=8.76e-06); inorganic ion homeostasis (GO:0098771, p=1.13e-05); calcium ion transmembrane import into cytosol (GO:0097553, p=1.76e-05); positive regulation of protein localization (GO:1903829, p=1.99e-05); positive regulation of monoatomic ion transmembrane transport (GO:0034767, p=2.81e-05); intracellular calcium ion homeostasis (GO:0006874, p=5.62e-05); calcium ion homeostasis (GO:0055074, p=1.14e-04); positive regulation of transmembrane transport (GO:0034764, p=1.62e-04); calcium ion transport (GO:0006816, p=3.32e-04); positive regulation of protein localization to membrane (GO:1905477, p=5.56e-04); positive regulation of cation transmembrane transport (GO:1904064, p=6.69e-04); regulation of calcium ion transport (GO:0051924, p=1.18e-03); regulation of calcium ion transmembrane transport (GO:1903169, p=3.59e-03); positive regulation of protein kinase activity (GO:0045860, p=5.30e-03); positive regulation of transferase activity (GO:0051347, p=5.87e-03); positive regulation of kinase activity (GO:0033674, p=1.40e-02); positive regulation of calcium ion transport (GO:0051928, p=2.43e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Il1rap,23,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); postsynapse organization (GO:0099173, p=6.62e-17); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=1.15e-12); regulation of synapse assembly (GO:0051963, p=5.22e-10); regulation of cell junction assembly (GO:1901888, p=8.46e-09); presynapse organization (GO:0099172, p=5.29e-07); presynapse assembly (GO:0099054, p=6.17e-07); regulation of postsynapse organization (GO:0099175, p=1.05e-06); synaptic membrane adhesion (GO:0099560, p=5.32e-06); postsynaptic density organization (GO:0097106, p=9.25e-05); excitatory synapse assembly (GO:1904861, p=1.41e-04); postsynaptic specialization organization (GO:0099084, p=1.47e-04); postsynapse assembly (GO:0099068, p=2.62e-04); positive regulation of synapse assembly (GO:0051965, p=2.82e-04); positive regulation of nervous system development (GO:0051962, p=1.38e-03); regulation of presynapse assembly (GO:1905606, p=1.62e-03); positive regulation of cell junction assembly (GO:1901890, p=2.63e-03); regulation of presynapse organization (GO:0099174, p=4.47e-03); postsynaptic density assembly (GO:0097107, p=9.12e-03); postsynaptic specialization assembly (GO:0098698, p=1.64e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Slc24a2,23,"learning or memory (GO:0007611, p=1.40e-14); regulation of synaptic plasticity (GO:0048167, p=1.15e-13); cognition (GO:0050890, p=2.20e-13); learning (GO:0007612, p=1.49e-08); intracellular monoatomic ion homeostasis (GO:0006873, p=3.98e-07); memory (GO:0007613, p=5.50e-07); intracellular monoatomic cation homeostasis (GO:0030003, p=6.07e-07); calcium ion transmembrane transport (GO:0070588, p=8.76e-06); inorganic ion homeostasis (GO:0098771, p=1.13e-05); calcium ion transmembrane import into cytosol (GO:0097553, p=1.76e-05); inorganic cation import across plasma membrane (GO:0098659, p=2.85e-05); inorganic ion import across plasma membrane (GO:0099587, p=2.85e-05); potassium ion transmembrane transport (GO:0071805, p=4.39e-05); potassium ion transport (GO:0006813, p=5.35e-05); intracellular calcium ion homeostasis (GO:0006874, p=5.62e-05); calcium ion import across plasma membrane (GO:0098703, p=1.03e-04); calcium ion homeostasis (GO:0055074, p=1.14e-04); positive regulation of synaptic transmission (GO:0050806, p=2.35e-04); sodium ion transmembrane transport (GO:0035725, p=3.12e-04); calcium ion transport (GO:0006816, p=3.32e-04); long-term synaptic potentiation (GO:0060291, p=3.41e-04); sodium ion transport (GO:0006814, p=6.20e-04); import across plasma membrane (GO:0098739, p=1.97e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Erc2,23,"regulation of synaptic plasticity (GO:0048167, p=1.15e-13); synaptic vesicle cycle (GO:0099504, p=6.46e-10); vesicle-mediated transport in synapse (GO:0099003, p=7.09e-10); intracellular monoatomic ion homeostasis (GO:0006873, p=3.98e-07); intracellular monoatomic cation homeostasis (GO:0030003, p=6.07e-07); neurotransmitter secretion (GO:0007269, p=1.42e-06); signal release from synapse (GO:0099643, p=1.42e-06); inorganic ion homeostasis (GO:0098771, p=1.13e-05); synaptic vesicle exocytosis (GO:0016079, p=2.09e-05); intracellular calcium ion homeostasis (GO:0006874, p=5.62e-05); calcium ion homeostasis (GO:0055074, p=1.14e-04); regulation of neurotransmitter levels (GO:0001505, p=1.98e-04); neurotransmitter transport (GO:0006836, p=4.17e-04); exocytosis (GO:0006887, p=4.54e-04); regulated exocytosis (GO:0045055, p=5.45e-03); positive regulation of vesicle fusion (GO:0031340, p=7.68e-03); positive regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031632, p=9.08e-03); calcium-dependent activation of synaptic vesicle fusion (GO:0099502, p=9.08e-03); positive regulation of synaptic vesicle membrane organization (GO:1901634, p=9.08e-03); cellular component maintenance (GO:0043954, p=1.01e-02); maintenance of synapse structure (GO:0099558, p=1.24e-02); exocytic process (GO:0140029, p=3.34e-02); regulation of vesicle fusion (GO:0031338, p=4.77e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Stim2,23,"regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of metal ion transport (GO:0010959, p=1.91e-10); regulation of monoatomic cation transmembrane transport (GO:1904062, p=4.61e-09); positive regulation of monoatomic ion transport (GO:0043270, p=3.62e-07); intracellular monoatomic ion homeostasis (GO:0006873, p=3.98e-07); intracellular monoatomic cation homeostasis (GO:0030003, p=6.07e-07); calcium ion transmembrane transport (GO:0070588, p=8.76e-06); inorganic ion homeostasis (GO:0098771, p=1.13e-05); positive regulation of monoatomic ion transmembrane transport (GO:0034767, p=2.81e-05); intracellular calcium ion homeostasis (GO:0006874, p=5.62e-05); calcium ion homeostasis (GO:0055074, p=1.14e-04); positive regulation of transmembrane transport (GO:0034764, p=1.62e-04); calcium ion transport (GO:0006816, p=3.32e-04); positive regulation of cation transmembrane transport (GO:1904064, p=6.69e-04); regulation of calcium ion transport (GO:0051924, p=1.18e-03); positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.61e-03); regulation of cation channel activity (GO:2001257, p=3.09e-03); positive regulation of transporter activity (GO:0032411, p=3.34e-03); regulation of calcium ion transmembrane transport (GO:1903169, p=3.59e-03); positive regulation of calcium ion transport (GO:0051928, p=2.43e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Prkcb,23,"synaptic vesicle cycle (GO:0099504, p=6.46e-10); vesicle-mediated transport in synapse (GO:0099003, p=7.09e-10); intracellular monoatomic ion homeostasis (GO:0006873, p=3.98e-07); intracellular monoatomic cation homeostasis (GO:0030003, p=6.07e-07); neurotransmitter secretion (GO:0007269, p=1.42e-06); signal release from synapse (GO:0099643, p=1.42e-06); inorganic ion homeostasis (GO:0098771, p=1.13e-05); positive regulation of protein localization (GO:1903829, p=1.99e-05); synaptic vesicle exocytosis (GO:0016079, p=2.09e-05); intracellular calcium ion homeostasis (GO:0006874, p=5.62e-05); calcium ion homeostasis (GO:0055074, p=1.14e-04); response to salt (GO:1902074, p=1.26e-04); regulation of neurotransmitter levels (GO:0001505, p=1.98e-04); calcium ion transport (GO:0006816, p=3.32e-04); neurotransmitter transport (GO:0006836, p=4.17e-04); exocytosis (GO:0006887, p=4.54e-04); postsynaptic signal transduction (GO:0098926, p=5.35e-04); regulated exocytosis (GO:0045055, p=5.45e-03); regulation of neurotransmitter secretion (GO:0046928, p=5.76e-03); cellular response to peptide (GO:1901653, p=1.33e-02); regulation of exocytosis (GO:0017157, p=2.14e-02); cellular response to salt (GO:1902075, p=3.45e-02); response to peptide (GO:1901652, p=3.90e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Macf1,22,"cell junction assembly (GO:0034329, p=5.37e-18); axonogenesis (GO:0007409, p=4.79e-16); protein localization to cell periphery (GO:1990778, p=5.69e-13); developmental growth involved in morphogenesis (GO:0060560, p=5.26e-10); developmental cell growth (GO:0048588, p=1.82e-09); positive regulation of cell projection organization (GO:0031346, p=3.56e-09); neuron projection extension (GO:1990138, p=5.64e-09); regulation of cell junction assembly (GO:1901888, p=8.46e-09); protein localization to plasma membrane (GO:0072659, p=4.95e-07); regulation of developmental growth (GO:0048638, p=3.07e-06); cell growth (GO:0016049, p=2.25e-05); regulation of axonogenesis (GO:0050770, p=4.92e-05); regulation of cellular component size (GO:0032535, p=9.25e-05); regulation of cell size (GO:0008361, p=2.18e-04); regulation of neurogenesis (GO:0050767, p=4.76e-04); axon extension (GO:0048675, p=6.40e-04); positive regulation of nervous system development (GO:0051962, p=1.38e-03); positive regulation of developmental growth (GO:0048639, p=1.40e-03); regulation of axon extension (GO:0030516, p=3.92e-03); regulation of cell morphogenesis (GO:0022604, p=4.38e-03); regulation of extent of cell growth (GO:0061387, p=4.73e-03); positive regulation of growth (GO:0045927, p=1.52e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Sema6d,22,"axonogenesis (GO:0007409, p=4.79e-16); developmental growth involved in morphogenesis (GO:0060560, p=5.26e-10); developmental cell growth (GO:0048588, p=1.82e-09); neuron projection extension (GO:1990138, p=5.64e-09); axon guidance (GO:0007411, p=4.46e-07); neuron projection guidance (GO:0097485, p=4.46e-07); regulation of developmental growth (GO:0048638, p=3.07e-06); negative regulation of cell projection organization (GO:0031345, p=1.62e-05); cell growth (GO:0016049, p=2.25e-05); regulation of axonogenesis (GO:0050770, p=4.92e-05); regulation of cellular component size (GO:0032535, p=9.25e-05); regulation of cell size (GO:0008361, p=2.18e-04); negative chemotaxis (GO:0050919, p=4.43e-04); regulation of neurogenesis (GO:0050767, p=4.76e-04); axon extension (GO:0048675, p=6.40e-04); chemotaxis (GO:0006935, p=7.73e-04); taxis (GO:0042330, p=8.81e-04); regulation of axon extension (GO:0030516, p=3.92e-03); regulation of extent of cell growth (GO:0061387, p=4.73e-03); negative regulation of nervous system development (GO:0051961, p=5.73e-03); negative regulation of neuron projection development (GO:0010977, p=9.13e-03); negative regulation of neurogenesis (GO:0050768, p=1.32e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Dpp6,22,"protein localization to cell periphery (GO:1990778, p=5.69e-13); regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of metal ion transport (GO:0010959, p=1.91e-10); action potential (GO:0001508, p=2.17e-09); regulation of monoatomic cation transmembrane transport (GO:1904062, p=4.61e-09); positive regulation of monoatomic ion transport (GO:0043270, p=3.62e-07); protein localization to plasma membrane (GO:0072659, p=4.95e-07); regulation of protein localization to membrane (GO:1905475, p=3.97e-06); positive regulation of protein localization (GO:1903829, p=1.99e-05); positive regulation of monoatomic ion transmembrane transport (GO:0034767, p=2.81e-05); potassium ion transmembrane transport (GO:0071805, p=4.39e-05); potassium ion transport (GO:0006813, p=5.35e-05); positive regulation of protein localization to cell periphery (GO:1904377, p=7.68e-05); regulation of protein localization to cell periphery (GO:1904375, p=1.23e-04); positive regulation of transmembrane transport (GO:0034764, p=1.62e-04); positive regulation of protein localization to plasma membrane (GO:1903078, p=4.38e-04); positive regulation of protein localization to membrane (GO:1905477, p=5.56e-04); positive regulation of cation transmembrane transport (GO:1904064, p=6.69e-04); regulation of potassium ion transport (GO:0043266, p=1.08e-02); regulation of protein localization to plasma membrane (GO:1903076, p=2.45e-02); regulation of potassium ion transmembrane transport (GO:1901379, p=2.67e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Ywhah,22,"regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of metal ion transport (GO:0010959, p=1.91e-10); dendrite development (GO:0016358, p=6.81e-10); dendrite morphogenesis (GO:0048813, p=8.85e-10); action potential (GO:0001508, p=2.17e-09); regulation of monoatomic cation transmembrane transport (GO:1904062, p=4.61e-09); regulation of dendrite morphogenesis (GO:0048814, p=1.89e-06); negative regulation of cell projection organization (GO:0031345, p=1.62e-05); regulation of dendrite development (GO:0050773, p=3.45e-05); regulation of sodium ion transport (GO:0002028, p=5.58e-05); sodium ion transmembrane transport (GO:0035725, p=3.12e-04); regulation of neurogenesis (GO:0050767, p=4.76e-04); sodium ion transport (GO:0006814, p=6.20e-04); regulation of sodium ion transmembrane transporter activity (GO:2000649, p=8.36e-04); negative regulation of dendrite morphogenesis (GO:0050774, p=2.59e-03); negative regulation of nervous system development (GO:0051961, p=5.73e-03); regulation of sodium ion transmembrane transport (GO:1902305, p=5.87e-03); negative regulation of neurogenesis (GO:0050768, p=1.32e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Ppfia2,21,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); postsynapse organization (GO:0099173, p=6.62e-17); synaptic vesicle cycle (GO:0099504, p=6.46e-10); dendrite development (GO:0016358, p=6.81e-10); vesicle-mediated transport in synapse (GO:0099003, p=7.09e-10); dendrite morphogenesis (GO:0048813, p=8.85e-10); regulation of postsynapse organization (GO:0099175, p=1.05e-06); neurotransmitter secretion (GO:0007269, p=1.42e-06); signal release from synapse (GO:0099643, p=1.42e-06); synaptic vesicle exocytosis (GO:0016079, p=2.09e-05); neuron projection organization (GO:0106027, p=3.85e-05); regulation of neurotransmitter levels (GO:0001505, p=1.98e-04); dendritic spine organization (GO:0097061, p=3.64e-04); neurotransmitter transport (GO:0006836, p=4.17e-04); exocytosis (GO:0006887, p=4.54e-04); vesicle localization (GO:0051648, p=2.60e-03); regulated exocytosis (GO:0045055, p=5.45e-03); regulation of neurotransmitter secretion (GO:0046928, p=5.76e-03); regulation of exocytosis (GO:0017157, p=2.14e-02); dendritic spine development (GO:0060996, p=4.90e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Ncam1,21,"axonogenesis (GO:0007409, p=4.79e-16); learning or memory (GO:0007611, p=1.40e-14); cognition (GO:0050890, p=2.20e-13); axon guidance (GO:0007411, p=4.46e-07); neuron projection guidance (GO:0097485, p=4.46e-07); second-messenger-mediated signaling (GO:0019932, p=2.68e-06); regulation of developmental growth (GO:0048638, p=3.07e-06); neuron recognition (GO:0008038, p=1.08e-05); calcium-mediated signaling (GO:0019722, p=1.06e-04); forebrain development (GO:0030900, p=1.21e-04); response to salt (GO:1902074, p=1.26e-04); exocytosis (GO:0006887, p=4.54e-04); response to metal ion (GO:0010038, p=9.92e-04); positive regulation of developmental growth (GO:0048639, p=1.40e-03); multicellular organismal response to stress (GO:0033555, p=4.44e-03); cell recognition (GO:0008037, p=5.30e-03); regulation of calcium-mediated signaling (GO:0050848, p=1.01e-02); regulation of protein-containing complex assembly (GO:0043254, p=1.29e-02); positive regulation of growth (GO:0045927, p=1.52e-02); response to inorganic substance (GO:0010035, p=1.73e-02); exocytic process (GO:0140029, p=3.34e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Zeb2,21,"axonogenesis (GO:0007409, p=4.79e-16); developmental growth involved in morphogenesis (GO:0060560, p=5.26e-10); developmental cell growth (GO:0048588, p=1.82e-09); positive regulation of cell projection organization (GO:0031346, p=3.56e-09); central nervous system neuron differentiation (GO:0021953, p=7.27e-06); cell growth (GO:0016049, p=2.25e-05); regulation of axonogenesis (GO:0050770, p=4.92e-05); forebrain development (GO:0030900, p=1.21e-04); central nervous system neuron development (GO:0021954, p=1.62e-04); blood circulation (GO:0008015, p=2.21e-04); regulation of neurogenesis (GO:0050767, p=4.76e-04); circulatory system process (GO:0003013, p=4.82e-04); positive regulation of nervous system development (GO:0051962, p=1.38e-03); regulation of actin filament-based process (GO:0032970, p=1.66e-03); actin-mediated cell contraction (GO:0070252, p=2.55e-03); actin filament-based movement (GO:0030048, p=2.63e-03); positive regulation of protein kinase activity (GO:0045860, p=5.30e-03); positive regulation of transferase activity (GO:0051347, p=5.87e-03); positive regulation of kinase activity (GO:0033674, p=1.40e-02); actin filament organization (GO:0007015, p=1.73e-02); telencephalon development (GO:0021537, p=3.97e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Fgf12,21,"regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); locomotory behavior (GO:0007626, p=2.96e-11); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of metal ion transport (GO:0010959, p=1.91e-10); action potential (GO:0001508, p=2.17e-09); regulation of monoatomic cation transmembrane transport (GO:1904062, p=4.61e-09); positive regulation of monoatomic ion transport (GO:0043270, p=3.62e-07); adult locomotory behavior (GO:0008344, p=4.38e-05); regulation of sodium ion transport (GO:0002028, p=5.58e-05); adult behavior (GO:0030534, p=2.01e-04); sodium ion transmembrane transport (GO:0035725, p=3.12e-04); neuromuscular process (GO:0050905, p=4.76e-04); sodium ion transport (GO:0006814, p=6.20e-04); regulation of sodium ion transmembrane transporter activity (GO:2000649, p=8.36e-04); regulation of cation channel activity (GO:2001257, p=3.09e-03); regulation of sodium ion transmembrane transport (GO:1902305, p=5.87e-03); regulation of action potential (GO:0098900, p=6.99e-03); positive regulation of sodium ion transport (GO:0010765, p=2.59e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
C1ql3,20,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); postsynapse organization (GO:0099173, p=6.62e-17); protein localization to cell periphery (GO:1990778, p=5.69e-13); regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072, p=2.58e-06); postsynaptic density organization (GO:0097106, p=9.25e-05); excitatory synapse assembly (GO:1904861, p=1.41e-04); postsynaptic specialization organization (GO:0099084, p=1.47e-04); protein localization to synapse (GO:0035418, p=1.48e-04); postsynapse assembly (GO:0099068, p=2.62e-04); receptor localization to synapse (GO:0097120, p=7.66e-04); protein localization to postsynaptic membrane (GO:1903539, p=1.17e-03); protein localization to postsynapse (GO:0062237, p=1.40e-03); protein localization to postsynaptic specialization membrane (GO:0099633, p=3.51e-03); neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645, p=3.51e-03); postsynaptic density assembly (GO:0097107, p=9.12e-03); protein localization to cell junction (GO:1902414, p=1.02e-02); postsynaptic specialization assembly (GO:0098698, p=1.64e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Neurod2,20,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); learning or memory (GO:0007611, p=1.40e-14); regulation of synaptic plasticity (GO:0048167, p=1.15e-13); cognition (GO:0050890, p=2.20e-13); learning (GO:0007612, p=1.49e-08); second-messenger-mediated signaling (GO:0019932, p=2.68e-06); calcium-mediated signaling (GO:0019722, p=1.06e-04); response to salt (GO:1902074, p=1.26e-04); response to metal ion (GO:0010038, p=9.92e-04); cerebellar cortex development (GO:0021695, p=1.40e-03); metencephalon development (GO:0022037, p=1.41e-03); cerebellum development (GO:0021549, p=1.80e-03); multicellular organismal response to stress (GO:0033555, p=4.44e-03); hindbrain development (GO:0030902, p=8.31e-03); associative learning (GO:0008306, p=9.08e-03); regulation of calcium-mediated signaling (GO:0050848, p=1.01e-02); response to inorganic substance (GO:0010035, p=1.73e-02); cellular response to salt (GO:1902075, p=3.45e-02); cellular response to metal ion (GO:0071248, p=3.64e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Nrp2,20,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); postsynapse organization (GO:0099173, p=6.62e-17); axonogenesis (GO:0007409, p=4.79e-16); developmental growth involved in morphogenesis (GO:0060560, p=5.26e-10); developmental cell growth (GO:0048588, p=1.82e-09); neuron projection extension (GO:1990138, p=5.64e-09); neuron migration (GO:0001764, p=4.48e-08); axon guidance (GO:0007411, p=4.46e-07); neuron projection guidance (GO:0097485, p=4.46e-07); regulation of postsynapse organization (GO:0099175, p=1.05e-06); central nervous system neuron differentiation (GO:0021953, p=7.27e-06); cell growth (GO:0016049, p=2.25e-05); forebrain development (GO:0030900, p=1.21e-04); central nervous system neuron development (GO:0021954, p=1.62e-04); negative chemotaxis (GO:0050919, p=4.43e-04); axon extension (GO:0048675, p=6.40e-04); chemotaxis (GO:0006935, p=7.73e-04); taxis (GO:0042330, p=8.81e-04); forebrain generation of neurons (GO:0021872, p=1.72e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Dnm3,20,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); postsynapse organization (GO:0099173, p=6.62e-17); synaptic vesicle cycle (GO:0099504, p=6.46e-10); dendrite development (GO:0016358, p=6.81e-10); vesicle-mediated transport in synapse (GO:0099003, p=7.09e-10); dendrite morphogenesis (GO:0048813, p=8.85e-10); positive regulation of cell projection organization (GO:0031346, p=3.56e-09); regulation of postsynapse organization (GO:0099175, p=1.05e-06); regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072, p=2.58e-06); negative regulation of cell projection organization (GO:0031345, p=1.62e-05); neuron projection organization (GO:0106027, p=3.85e-05); dendritic spine organization (GO:0097061, p=3.64e-04); vesicle localization (GO:0051648, p=2.60e-03); negative regulation of neuron projection development (GO:0010977, p=9.13e-03); synaptic vesicle localization (GO:0097479, p=2.04e-02); synaptic vesicle recycling (GO:0036465, p=3.05e-02); dendritic spine development (GO:0060996, p=4.90e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Dlg2,20,"postsynapse organization (GO:0099173, p=6.62e-17); protein localization to cell periphery (GO:1990778, p=5.69e-13); regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072, p=2.58e-06); postsynaptic density organization (GO:0097106, p=9.25e-05); response to salt (GO:1902074, p=1.26e-04); postsynaptic specialization organization (GO:0099084, p=1.47e-04); protein localization to synapse (GO:0035418, p=1.48e-04); receptor clustering (GO:0043113, p=3.99e-04); receptor localization to synapse (GO:0097120, p=7.66e-04); response to metal ion (GO:0010038, p=9.92e-04); protein localization to postsynaptic membrane (GO:1903539, p=1.17e-03); protein localization to postsynapse (GO:0062237, p=1.40e-03); protein localization to postsynaptic specialization membrane (GO:0099633, p=3.51e-03); neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645, p=3.51e-03); cellular component maintenance (GO:0043954, p=1.01e-02); protein localization to cell junction (GO:1902414, p=1.02e-02); maintenance of synapse structure (GO:0099558, p=1.24e-02); response to inorganic substance (GO:0010035, p=1.73e-02); cellular response to salt (GO:1902075, p=3.45e-02); cellular response to metal ion (GO:0071248, p=3.64e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
Nfix,20,"axonogenesis (GO:0007409, p=4.79e-16); learning or memory (GO:0007611, p=1.40e-14); cognition (GO:0050890, p=2.20e-13); developmental growth involved in morphogenesis (GO:0060560, p=5.26e-10); developmental cell growth (GO:0048588, p=1.82e-09); learning (GO:0007612, p=1.49e-08); memory (GO:0007613, p=5.50e-07); central nervous system neuron differentiation (GO:0021953, p=7.27e-06); cell growth (GO:0016049, p=2.25e-05); forebrain development (GO:0030900, p=1.21e-04); cerebellar cortex development (GO:0021695, p=1.40e-03); metencephalon development (GO:0022037, p=1.41e-03); cerebellum development (GO:0021549, p=1.80e-03); hindbrain development (GO:0030902, p=8.31e-03); cerebellum morphogenesis (GO:0021587, p=1.00e-02); hindbrain morphogenesis (GO:0021575, p=1.44e-02); forebrain generation of neurons (GO:0021872, p=1.72e-02); telencephalon development (GO:0021537, p=3.97e-02); cerebellar granular layer formation (GO:0021684, p=4.23e-02); cerebellar granule cell differentiation (GO:0021707, p=4.23e-02)",gene_report_ExcitatoryNeuronsMatureDG_24hrvs1hr_PTZ.csv
