Description,p.adjust,Regulation,CellType,Comparison
Motor proteins - Mus musculus (house mouse),2.768153125763316e-4,Down,ExcitatoryNeuronsCA3,PTZvsSAL_1hr
Salmonella infection - Mus musculus (house mouse),6.055227771924725e-4,Down,ExcitatoryNeuronsCA3,PTZvsSAL_1hr
Amyotrophic lateral sclerosis - Mus musculus (house mouse),0.002991083468865541,Down,ExcitatoryNeuronsCA3,PTZvsSAL_1hr
Gap junction - Mus musculus (house mouse),0.0036592377655857936,Down,ExcitatoryNeuronsCA3,PTZvsSAL_1hr
Huntington disease - Mus musculus (house mouse),0.011057479775404257,Down,ExcitatoryNeuronsCA3,PTZvsSAL_1hr
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),0.04836457596474589,Down,ExcitatoryNeuronsCA3,PTZvsSAL_1hr
Salmonella infection - Mus musculus (house mouse),0.019955481216698327,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_PTZ
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.020456532005222957,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_PTZ
Apoptosis - Mus musculus (house mouse),0.020456532005222957,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_PTZ
Phagosome - Mus musculus (house mouse),0.033980420961301126,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_PTZ
Motor proteins - Mus musculus (house mouse),0.033980420961301126,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_PTZ
Carbohydrate digestion and absorption - Mus musculus (house mouse),0.033980420961301126,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_PTZ
Long-term depression - Mus musculus (house mouse),0.011400342010260411,Up,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Neuroactive ligand-receptor interaction - Mus musculus (house mouse),0.037241117233516974,Up,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Phagosome - Mus musculus (house mouse),0.02212220168508604,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Motor proteins - Mus musculus (house mouse),0.02212220168508604,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.022520286451941412,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Salmonella infection - Mus musculus (house mouse),0.022520286451941412,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Gastric acid secretion - Mus musculus (house mouse),0.02285180483981167,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Gap junction - Mus musculus (house mouse),0.02285180483981167,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),0.02285180483981167,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Taste transduction - Mus musculus (house mouse),0.02285180483981167,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Viral myocarditis - Mus musculus (house mouse),0.02285180483981167,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Hypertrophic cardiomyopathy - Mus musculus (house mouse),0.02285180483981167,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Dilated cardiomyopathy - Mus musculus (house mouse),0.02285180483981167,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Amyotrophic lateral sclerosis - Mus musculus (house mouse),0.02324571980313272,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.026056455004915643,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Apoptosis - Mus musculus (house mouse),0.03085672071763224,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Tight junction - Mus musculus (house mouse),0.04429524664098184,Down,ExcitatoryNeuronsImmatureDG,24hrvs1hr_SAL
Axon guidance - Mus musculus (house mouse),1.930334678852069e-8,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Calcium signaling pathway - Mus musculus (house mouse),8.617995858330858e-6,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Morphine addiction - Mus musculus (house mouse),1.4459899854458265e-4,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Dopaminergic synapse - Mus musculus (house mouse),2.3460700366459425e-4,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Cell adhesion molecules - Mus musculus (house mouse),2.5762314705665153e-4,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Cholinergic synapse - Mus musculus (house mouse),3.3290872784761907e-4,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
GnRH secretion - Mus musculus (house mouse),6.814268534048563e-4,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Circadian entrainment - Mus musculus (house mouse),9.309353330466148e-4,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Type II diabetes mellitus - Mus musculus (house mouse),0.0016882520112305383,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
"Parathyroid hormone synthesis, secretion and action - Mus musculus (house mouse)",0.001690861900252331,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
MAPK signaling pathway - Mus musculus (house mouse),0.001690861900252331,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Glutamatergic synapse - Mus musculus (house mouse),0.001690861900252331,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Insulin secretion - Mus musculus (house mouse),0.0021376071700101845,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
GABAergic synapse - Mus musculus (house mouse),0.0027109468466637986,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Long-term depression - Mus musculus (house mouse),0.002958368320110663,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Alzheimer disease - Mus musculus (house mouse),0.0030371211258018635,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Serotonergic synapse - Mus musculus (house mouse),0.0031824471821401377,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Long-term potentiation - Mus musculus (house mouse),0.004141320936350976,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Amphetamine addiction - Mus musculus (house mouse),0.004499155770046145,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),0.004589133955340773,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Nicotine addiction - Mus musculus (house mouse),0.004589133955340773,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Retrograde endocannabinoid signaling - Mus musculus (house mouse),0.004774857735462387,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Oxytocin signaling pathway - Mus musculus (house mouse),0.004774857735462387,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Synaptic vesicle cycle - Mus musculus (house mouse),0.005867498381690806,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
"Growth hormone synthesis, secretion and action - Mus musculus (house mouse)",0.005867498381690806,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Prion disease - Mus musculus (house mouse),0.007242133320039431,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
cGMP-PKG signaling pathway - Mus musculus (house mouse),0.007813477841525914,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),0.008354331543539657,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Salivary secretion - Mus musculus (house mouse),0.008495805714875581,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Taste transduction - Mus musculus (house mouse),0.010538452907086278,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Apelin signaling pathway - Mus musculus (house mouse),0.011961769394879147,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),0.014816416038152109,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.016414792142118554,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
cAMP signaling pathway - Mus musculus (house mouse),0.027457650358539025,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Aldosterone-regulated sodium reabsorption - Mus musculus (house mouse),0.028750306890571575,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Renin secretion - Mus musculus (house mouse),0.029124088594943306,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Gap junction - Mus musculus (house mouse),0.04371493445969563,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Colorectal cancer - Mus musculus (house mouse),0.046088103043933036,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
GnRH signaling pathway - Mus musculus (house mouse),0.04673191111558398,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Neuroactive ligand signaling - Mus musculus (house mouse),0.04673191111558398,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Spinocerebellar ataxia - Mus musculus (house mouse),0.04673191111558398,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Motor proteins - Mus musculus (house mouse),0.04673191111558398,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Adherens junction - Mus musculus (house mouse),0.04673191111558398,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
"Virion - Ebolavirus, Lyssavirus and Morbillivirus - Mus musculus (house mouse)",0.04673191111558398,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Vascular smooth muscle contraction - Mus musculus (house mouse),0.047099403968083035,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
cGMP-PKG signaling pathway - Mus musculus (house mouse),9.286302319095986e-7,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),9.286302319095986e-7,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Glutamatergic synapse - Mus musculus (house mouse),9.286302319095986e-7,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Long-term potentiation - Mus musculus (house mouse),1.1331270702157242e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Calcium signaling pathway - Mus musculus (house mouse),1.7729825313223876e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Rap1 signaling pathway - Mus musculus (house mouse),3.009764230957273e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),3.009764230957273e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Circadian entrainment - Mus musculus (house mouse),3.2474088285156666e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
cAMP signaling pathway - Mus musculus (house mouse),3.856092181673222e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Aldosterone synthesis and secretion - Mus musculus (house mouse),3.856092181673222e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Salivary secretion - Mus musculus (house mouse),4.721415003937829e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Oxytocin signaling pathway - Mus musculus (house mouse),4.721415003937829e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Gastric acid secretion - Mus musculus (house mouse),9.557333899490333e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Oocyte meiosis - Mus musculus (house mouse),1.4366907657621065e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Phospholipase D signaling pathway - Mus musculus (house mouse),1.5255762689188478e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Dilated cardiomyopathy - Mus musculus (house mouse),1.5845715306462432e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Estrogen signaling pathway - Mus musculus (house mouse),2.6820836064719953e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
GnRH signaling pathway - Mus musculus (house mouse),3.115417180396232e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Pancreatic secretion - Mus musculus (house mouse),3.502341660179588e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Proximal tubule bicarbonate reclamation - Mus musculus (house mouse),3.502341660179588e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Spinocerebellar ataxia - Mus musculus (house mouse),3.502341660179588e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Thyroid hormone synthesis - Mus musculus (house mouse),4.176322238553033e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Retrograde endocannabinoid signaling - Mus musculus (house mouse),7.20765375011879e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Glucagon signaling pathway - Mus musculus (house mouse),7.405729309449691e-4,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Insulin secretion - Mus musculus (house mouse),0.0010870002454625614,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Dopaminergic synapse - Mus musculus (house mouse),0.0011492360086241581,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Neuroactive ligand signaling - Mus musculus (house mouse),0.0012674904381693665,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Apelin signaling pathway - Mus musculus (house mouse),0.0012774991382666133,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Phosphatidylinositol signaling system - Mus musculus (house mouse),0.002025803193025929,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Axon guidance - Mus musculus (house mouse),0.0023190365347519324,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Hypertrophic cardiomyopathy - Mus musculus (house mouse),0.0025098679844568665,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Mineral absorption - Mus musculus (house mouse),0.0026520915082748294,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Aldosterone-regulated sodium reabsorption - Mus musculus (house mouse),0.003394995783054042,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Yersinia infection - Mus musculus (house mouse),0.003991604681800805,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Gap junction - Mus musculus (house mouse),0.004645476825639153,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),0.004645476825639153,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Cardiac muscle contraction - Mus musculus (house mouse),0.005546664938369453,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
"Parathyroid hormone synthesis, secretion and action - Mus musculus (house mouse)",0.005546664938369453,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.006507431388087152,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Progesterone-mediated oocyte maturation - Mus musculus (house mouse),0.006507431388087152,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Morphine addiction - Mus musculus (house mouse),0.006507431388087152,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Fc gamma R-mediated phagocytosis - Mus musculus (house mouse),0.006700828603255116,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Amphetamine addiction - Mus musculus (house mouse),0.006700828603255116,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Carbohydrate digestion and absorption - Mus musculus (house mouse),0.009066373489000128,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Melanogenesis - Mus musculus (house mouse),0.009066373489000128,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Bile secretion - Mus musculus (house mouse),0.0093949294650453909,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
MAPK signaling pathway - Mus musculus (house mouse),0.010103745423052939,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Synaptic vesicle cycle - Mus musculus (house mouse),0.010394430773323603,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Bacterial invasion of epithelial cells - Mus musculus (house mouse),0.010394430773323603,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Purine metabolism - Mus musculus (house mouse),0.01117579673313638,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Regulation of actin cytoskeleton - Mus musculus (house mouse),0.01171110037305363,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Tight junction - Mus musculus (house mouse),0.012532658592408515,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Alzheimer disease - Mus musculus (house mouse),0.013210054100416674,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
C-type lectin receptor signaling pathway - Mus musculus (house mouse),0.014414638400918608,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Cholinergic synapse - Mus musculus (house mouse),0.015623827821347193,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),0.016371026974532403,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Longevity regulating pathway - multiple species - Mus musculus (house mouse),0.016983033921316993,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Lipid and atherosclerosis - Mus musculus (house mouse),0.017812351214108763,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Salmonella infection - Mus musculus (house mouse),0.017812351214108763,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
GnRH secretion - Mus musculus (house mouse),0.0179836941524925,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Human cytomegalovirus infection - Mus musculus (house mouse),0.0179836941524925,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Longevity regulating pathway - Mus musculus (house mouse),0.0179836941524925,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
GABAergic synapse - Mus musculus (house mouse),0.01868472237017988,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.025949325997298274,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse),0.027052339545732683,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Ras signaling pathway - Mus musculus (house mouse),0.02908168235891803,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Cortisol synthesis and secretion - Mus musculus (house mouse),0.029243121689031627,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Th17 cell differentiation - Mus musculus (house mouse),0.03438788392794947,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Renin secretion - Mus musculus (house mouse),0.035508258172505906,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Vascular smooth muscle contraction - Mus musculus (house mouse),0.04286725571891436,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Tuberculosis - Mus musculus (house mouse),0.04352548349746316,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_PTZ
Axon guidance - Mus musculus (house mouse),4.6703028506261505e-9,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Neurotrophin signaling pathway - Mus musculus (house mouse),2.0389856138184462e-4,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
MAPK signaling pathway - Mus musculus (house mouse),4.829100421007169e-4,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Glutamatergic synapse - Mus musculus (house mouse),0.007920078734044619,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Pancreatic cancer - Mus musculus (house mouse),0.007920078734044619,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Relaxin signaling pathway - Mus musculus (house mouse),0.010795747303454398,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Chagas disease - Mus musculus (house mouse),0.020927323695345883,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),0.020927323695345883,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
cAMP signaling pathway - Mus musculus (house mouse),0.020927323695345883,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Toxoplasmosis - Mus musculus (house mouse),0.020927323695345883,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Long-term potentiation - Mus musculus (house mouse),0.022105836164882407,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
cGMP-PKG signaling pathway - Mus musculus (house mouse),0.022105836164882407,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
"Growth hormone synthesis, secretion and action - Mus musculus (house mouse)",0.022105836164882407,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Prolactin signaling pathway - Mus musculus (house mouse),0.026595209610570106,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Sphingolipid signaling pathway - Mus musculus (house mouse),0.026595209610570106,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Synaptic vesicle cycle - Mus musculus (house mouse),0.027266741393033055,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
FoxO signaling pathway - Mus musculus (house mouse),0.029732766392424323,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Osteoclast differentiation - Mus musculus (house mouse),0.030064620793572455,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
ErbB signaling pathway - Mus musculus (house mouse),0.030064620793572455,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Apelin signaling pathway - Mus musculus (house mouse),0.030064620793572455,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Insulin signaling pathway - Mus musculus (house mouse),0.030064620793572455,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Colorectal cancer - Mus musculus (house mouse),0.03224574861257237,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Progesterone-mediated oocyte maturation - Mus musculus (house mouse),0.03761604989365555,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Oxytocin signaling pathway - Mus musculus (house mouse),0.03881087843904148,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Type II diabetes mellitus - Mus musculus (house mouse),0.03881087843904148,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Hepatitis B - Mus musculus (house mouse),0.047552559498040596,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Ras signaling pathway - Mus musculus (house mouse),0.04944104785026528,Up,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Salmonella infection - Mus musculus (house mouse),4.639337466256897e-5,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Amyotrophic lateral sclerosis - Mus musculus (house mouse),0.004413110734199691,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.004413110734199691,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
cAMP signaling pathway - Mus musculus (house mouse),0.0057308849908351825,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Gastric acid secretion - Mus musculus (house mouse),0.0057308849908351825,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Fluid shear stress and atherosclerosis - Mus musculus (house mouse),0.006123263671925038,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),0.006499268914915827,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Alzheimer disease - Mus musculus (house mouse),0.010541898588570214,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Phagosome - Mus musculus (house mouse),0.010541898588570214,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Motor proteins - Mus musculus (house mouse),0.01314916632468866,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Carbohydrate digestion and absorption - Mus musculus (house mouse),0.01314916632468866,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Mineral absorption - Mus musculus (house mouse),0.01592880012053412,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),0.01652017366566728,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Estrogen signaling pathway - Mus musculus (house mouse),0.01652017366566728,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Apoptosis - Mus musculus (house mouse),0.01652017366566728,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.01652017366566728,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Dopaminergic synapse - Mus musculus (house mouse),0.01652017366566728,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),0.016869117388674883,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Proximal tubule bicarbonate reclamation - Mus musculus (house mouse),0.026359911084249482,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Prion disease - Mus musculus (house mouse),0.026359911084249482,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Tight junction - Mus musculus (house mouse),0.026359911084249482,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
cGMP-PKG signaling pathway - Mus musculus (house mouse),0.026359911084249482,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Gap junction - Mus musculus (house mouse),0.026359911084249482,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Insulin secretion - Mus musculus (house mouse),0.026359911084249482,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),0.026359911084249482,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Antigen processing and presentation - Mus musculus (house mouse),0.026359911084249482,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Salivary secretion - Mus musculus (house mouse),0.026359911084249482,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Progesterone-mediated oocyte maturation - Mus musculus (house mouse),0.030488141844767308,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Viral myocarditis - Mus musculus (house mouse),0.030488141844767308,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Hypertrophic cardiomyopathy - Mus musculus (house mouse),0.035013875086130096,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Dilated cardiomyopathy - Mus musculus (house mouse),0.036593443272920405,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.036593443272920405,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Prostate cancer - Mus musculus (house mouse),0.03754768165823344,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
